Time,Filename,mean_Deg_C_1_1,uL_BL,uL_Channel_2,uL_Channel_3,uL_Channel_4,uL_Channel_5,uL_Channel_6,Baseline,w1118 BL 6326,w1118 BL 6326,eaat2 e04636,eaat2 e04636,eaat2 e04636
14:46:04,RepRec~04-28-2017_0326.exp,24.15503,0.19027,1.140618,1.65798,1.412144,1.145318,1.428684,0,68,32,31,0,3
14:51:04,RepRec~04-28-2017_0327.exp,24.10394,0.1754061,1.197659,1.598828,1.311088,1.113369,1.350177,0,89,47,24,0,4
14:56:04,RepRec~04-28-2017_0328.exp,24.06402,0.1896826,1.22554,1.60859,1.329157,1.1394,1.50607,0,73,36,8,0,16
15:01:04,RepRec~04-28-2017_0329.exp,24.05075,0.1818261,1.193059,1.59258,1.274989,1.116921,1.530641,0,62,31,24,0,10
15:06:04,RepRec~04-28-2017_0330.exp,24.04746,0.1816154,1.039541,1.575493,1.260093,1.072096,1.483607,0,0,35,23,0,5
15:11:04,RepRec~04-28-2017_0331.exp,24.01045,0.1889099,1.427665,1.597966,1.244184,1.102052,1.534148,0,0,40,11,0,12
15:16:04,RepRec~04-28-2017_0332.exp,23.97509,0.2013062,1.584019,1.553508,1.361594,1.089874,1.503284,0,5,38,30,0,8
15:21:04,RepRec~04-28-2017_0333.exp,23.96503,0.1811296,1.614405,1.542949,1.331892,1.216286,1.537945,0,1,36,18,0,13
15:26:04,RepRec~04-28-2017_0334.exp,23.95736,0.1884405,1.180896,1.538637,1.270106,1.244143,1.494118,0,0,36,34,5,6
15:31:04,RepRec~04-28-2017_0335.exp,23.92005,0.1910044,1.383591,1.556015,1.266661,1.429839,1.485451,0,0,35,16,8,13
15:36:04,RepRec~04-28-2017_0336.exp,23.88579,0.1912431,1.294287,1.605646,1.323894,1.475305,1.3564,0,0,31,27,11,11
15:41:04,RepRec~04-28-2017_0337.exp,23.89467,0.1796613,1.249192,1.590433,1.352648,1.414459,1.438088,0,0,27,30,3,10
15:46:04,RepRec~04-28-2017_0338.exp,23.9157,0.1865775,1.326397,1.61573,1.302698,1.288751,1.393291,0,0,49,26,7,15
15:51:04,RepRec~04-28-2017_0339.exp,23.95492,0.1775473,1.331773,1.515174,1.190185,1.412183,1.345781,0,0,41,7,12,9
15:56:04,RepRec~04-28-2017_0340.exp,24.02246,0.1706903,1.148687,1.516264,1.307962,1.365307,1.376097,0,0,24,20,10,7
16:01:04,RepRec~04-28-2017_0341.exp,24.13411,0.1713348,1.122283,1.491147,1.287614,1.327858,1.382756,0,0,30,20,5,10
16:06:04,RepRec~04-28-2017_0342.exp,24.23851,0.1809108,1.248453,1.578809,1.331677,1.387535,1.374898,0,0,30,30,8,3
16:11:04,RepRec~04-28-2017_0343.exp,24.31121,0.1846988,1.113087,1.515449,1.23177,1.358715,1.592927,0,0,43,23,5,0
16:16:04,RepRec~04-28-2017_0344.exp,24.4016,0.1843811,1.129926,1.580846,1.268825,1.515334,1.610929,0,0,33,22,2,0
16:21:04,RepRec~04-28-2017_0345.exp,24.50245,0.1808229,1.195352,1.495104,1.168322,1.418583,1.390133,0,0,29,13,11,0
16:26:04,RepRec~04-28-2017_0346.exp,24.60748,0.1740862,1.157176,1.558848,1.181402,1.304699,1.360802,0,0,30,17,12,2
16:31:04,RepRec~04-28-2017_0347.exp,24.71355,0.1869713,1.143132,1.649449,1.2044,1.309164,1.488214,0,0,39,29,5,15
16:36:04,RepRec~04-28-2017_0348.exp,24.8048,0.1803835,1.139547,1.629483,1.202744,1.418669,1.540848,0,0,33,13,5,9
16:41:04,RepRec~04-28-2017_0349.exp,24.89902,0.1840876,1.158853,1.56621,1.172579,1.410765,1.580944,0,0,14,22,9,10
16:46:04,RepRec~04-28-2017_0350.exp,25.03077,0.2011865,1.217078,1.697202,1.188276,1.395621,1.630824,0,0,42,15,12,2
16:51:04,RepRec~04-28-2017_0351.exp,25.13658,0.1947619,1.20153,1.601311,1.166682,1.366439,1.609288,0,0,25,27,0,15
